"","NAME","PROGRAM.IDENTIFIER","INSPECTION.DATE","DESCRIPTION","ADDRESS","CITY","ZIP.CODE","PHONE","LONGITUDE","LATITUDE","INSPECTION.BUSINESS.NAME","INSPECTION.TYPE","INSPECTION.SCORE","INSPECTION.RESULT","INSPECTION.CLOSED.BUSINESS","VIOLATION.TYPE","VIOLATION.DESCRIPTION","VIOLATION.POINTS","BUSINESS_ID","INSPECTION_SERIAL_NUM","VIOLATION_RECORD_ID","GRADE"
"1","#807 TUTTA BELLA","#807 TUTTA BELLA","08/31/2022","Seating 0-12 - Risk Category III","2746 NE 45TH ST","SEATTLE","98105","(206) 722-6400",-122.29641473,47.66231092,"#807 TUTTA BELLA","Routine Inspection/Field Review",10,"Unsatisfactory","false","BLUE","3200 - Insects, rodents, animals not present; entrance controlled.",5,"PR0089260","DAEEWQC0L","IVQ7QYW2V",1
"5","+MAS CAFE","+MAS CAFE","07/13/2022","Seating 0-12 - Risk Category III","1906 N 34TH ST ","SEATTLE","98103","(206) 491-4694",-122.3345870767,47.6481803613,"+MAS CAFE","Return Inspection",0,"Satisfactory","false","","",0,"PR0046367","DATSWIPUS","",2
"13","?al?al Cafe","?al?al Cafe","","Seating 13-50 - Risk Category III","122 2ND AVE S","SEATTLE","98104","(952) 649-8629",-122.33134,47.60141,"","",NA,"","","","",0,"PR0090156","","",NA
"14","100 LB CLAM","100 LB CLAM","07/13/2022","Seating 0-12 - Risk Category III","1001 FAIRVIEW AVE N Unit 1700A","SEATTLE","98109","(206) 369-2978",-122.33172694,47.62902129,"100 LB CLAM","Consultation/Education - Field",0,"Complete","false","","",0,"PR0085848","DA5SXOHAS","",2
"29","1000 SPIRITS","1000 SPIRITS","09/08/2022","Seating 51-150 - Risk Category III","1225 1ST AVE","SEATTLE","98101","(206) 612-2660",-122.33822298,47.60653938,"1000 SPIRITS","Routine Inspection/Field Review",5,"Unsatisfactory","false","RED","2120 - Proper cold holding temperatures ( 42 degrees F to 45 degrees F)",5,"PR0082813","DAQBVS0O9","IVKNCGWZ9",1
"160","125TH ST GRILL","125TH ST GRILL","07/19/2022","Seating 51-150 - Risk Category III","12255 AURORA AVE N ","Seattle","98133","(206) 363-8950",-122.3453076813,47.7193154511,"125TH ST GRILL","Routine Inspection/Field Review",20,"Unsatisfactory","false","BLUE","3400 - Wiping cloths properly used, stored, proper sanitizer",5,"PR0010573","DAKUD3YPZ","IVYOKB62S",1
"195","13 COINS","13 COINS","11/07/2022","Seating 51-150 - Risk Category III","18000 PACIFIC HWY S ","SEATTLE","98188","(206) 243-9500",-122.2957679697,47.4415898055,"13 COINS","Routine Inspection/Field Review",15,"Unsatisfactory","false","BLUE","4100 - Warewashing facilities properly installed, maintained, used;",5,"PR0004264","DAY86NXGX","IVBGAIBPW",1
"285","13 COINS RESTAURANT","13 COINS RESTAURANT","09/14/2022","Seating 151-250 - Risk Category III","255 S KING ST","SEATTLE","98104","(206) 382-1313",-122.3310251,47.59788682,"13 COINS RESTAURANT","Consultation/Education - Field",0,"Complete","false","","",0,"PR0087276","DAS3NQZNX","",1
"296","14 CARROT CAFE","14 CARROT CAFE","07/18/2022","Seating 51-150 - Risk Category III","2305 EASTLAKE AVE E ","SEATTLE","98102","(206) 324-1442",-122.3261014499,47.6398598066,"14 CARROT CAFE","Routine Inspection/Field Review",10,"Unsatisfactory","false","BLUE","3400 - Wiping cloths properly used, stored, proper sanitizer",5,"PR0003061","DAF9GBP69","IVKM0MOY0",1
"357","1899 GROVE @ WOODLAND PARK ZOO","1899 GROVE @ WOODLAND PARK ZOO","10/21/2020","Seating 0-12 - Risk Category III","5500 PHINNEY AVE N","SEATTLE","98103","(206) 545-2042",-122.35094691,47.66842021,"1899 GROVE @ WOODLAND PARK ZOO","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0089019","DABHSXHJ7","",1
